"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M",
"Geography","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!Total","Margin of Error!!Families!!Total","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families!!Median income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families!!Mean income (dollars)","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families!!Total","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families!!Median income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families!!Mean income (dollars)","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households!!Total","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households!!Median income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households!!Mean income (dollars)","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months",
"0400000US01","Alabama","2051545","10192","6.4","0.3","4.8","0.3","9.0","0.4","8.9","0.3","11.4","0.4","17.3","0.5","13.2","0.5","15.6","0.4","6.7","0.3","6.7","0.3","62212","711","85530","1294","38.7","(X)","(X)","(X)","(X)","(X)","1328854","12989","3.8","0.3","2.4","0.3","5.8","0.4","6.5","0.4","10.6","0.4","17.5","0.7","15.2","0.6","19.7","0.6","8.9","0.4","9.5","0.4","79940","1138","103839","1973","(X)","(X)","40.3","(X)","(X)","(X)","949532","12487","1.4","0.2","0.8","0.1","2.9","0.3","4.3","0.3","8.6","0.4","16.7","0.7","16.9","0.7","24.2","0.7","11.5","0.5","12.8","0.6","97749","1350","123679","2575","(X)","(X)","(X)","(X)","(X)","(X)","722691","13007","12.0","0.6","9.8","0.7","15.5","0.9","13.5","0.7","13.6","0.6","16.5","0.8","8.7","0.7","7.0","0.5","2.0","0.3","1.3","0.3","34218","1152","48701","1355","(X)","(X)","(X)","(X)","34.4","(X)",
"0400000US02","Alaska","276852","3294","4.1","0.6","2.5","0.5","5.7","0.6","5.4","0.7","10.6","0.9","15.2","1.3","13.3","1.0","19.4","1.4","10.4","0.9","13.5","1.1","86631","2575","114201","3712","36.5","(X)","(X)","(X)","(X)","(X)","171370","4353","2.7","0.7","1.5","0.4","2.7","0.5","3.7","0.6","8.8","1.2","14.3","1.3","12.7","1.1","22.0","1.8","13.4","1.3","18.1","1.5","105752","3850","133034","4056","(X)","(X)","39.4","(X)","(X)","(X)","128090","4540","1.1","0.4","0.6","0.3","1.7","0.5","2.6","0.6","6.6","1.1","12.2","1.4","12.2","1.3","25.0","2.2","15.6","1.5","22.4","1.9","123157","3450","150477","4662","(X)","(X)","(X)","(X)","(X)","(X)","105482","4243","7.4","1.4","4.7","1.1","10.5","1.4","8.9","1.6","14.1","1.7","17.5","2.4","13.8","1.7","13.4","1.9","5.1","1.2","4.7","1.1","56638","4899","78066","5702","(X)","(X)","(X)","(X)","29.8","(X)",
"0400000US04","Arizona","2907014","12227","5.5","0.3","2.9","0.2","5.9","0.3","6.7","0.3","10.8","0.4","16.7","0.4","13.5","0.4","18.0","0.4","9.2","0.3","10.8","0.4","77315","931","104620","1330","38.0","(X)","(X)","(X)","(X)","(X)","1858236","17024","3.4","0.3","1.6","0.2","3.8","0.2","4.8","0.3","9.5","0.5","15.6","0.5","14.7","0.5","21.3","0.6","11.4","0.4","13.9","0.5","93553","1319","121773","1681","(X)","(X)","40.1","(X)","(X)","(X)","1359887","16593","1.6","0.2","1.1","0.2","2.6","0.2","3.7","0.3","7.5","0.4","13.9","0.6","14.8","0.6","23.7","0.7","13.6","0.6","17.6","0.7","107847","1584","138858","2097","(X)","(X)","(X)","(X)","(X)","(X)","1048778","16816","10.6","0.7","5.5","0.4","10.0","0.5","10.3","0.6","14.1","0.6","19.2","0.8","11.0","0.7","10.9","0.6","4.3","0.4","4.2","0.4","49360","1314","68029","1831","(X)","(X)","(X)","(X)","32.2","(X)",
"0400000US05","Arkansas","1232871","8404","6.3","0.4","5.2","0.4","9.0","0.4","9.3","0.4","12.8","0.6","18.2","0.6","12.5","0.5","14.6","0.6","5.6","0.3","6.3","0.3","58700","1155","81056","1265","38.0","(X)","(X)","(X)","(X)","(X)","797254","12121","4.0","0.4","2.3","0.3","5.5","0.5","7.8","0.5","11.9","0.6","19.1","0.7","14.5","0.7","18.6","0.8","7.5","0.5","8.8","0.5","74179","1276","97874","1788","(X)","(X)","39.4","(X)","(X)","(X)","575802","10927","1.2","0.2","1.4","0.3","3.3","0.4","5.5","0.4","9.5","0.6","19.2","0.8","16.2","0.8","22.7","1.0","9.6","0.6","11.5","0.6","90436","1630","114735","2243","(X)","(X)","(X)","(X)","(X)","(X)","435617","11008","12.0","0.9","10.7","0.9","16.1","1.0","12.8","0.9","15.1","1.0","16.3","1.0","8.1","0.8","5.6","0.8","1.8","0.3","1.5","0.3","33635","1242","46595","1261","(X)","(X)","(X)","(X)","34.2","(X)",
"0400000US06","California","13699816","20966","4.8","0.1","3.0","0.1","5.2","0.1","5.4","0.1","8.2","0.1","13.5","0.2","11.9","0.2","17.8","0.2","11.2","0.1","19.1","0.2","95521","611","134491","756","39.4","(X)","(X)","(X)","(X)","(X)","9227560","28623","3.0","0.1","1.6","0.1","3.8","0.1","4.7","0.2","7.5","0.2","13.0","0.2","12.1","0.2","19.2","0.3","12.5","0.2","22.6","0.2","109349","854","151243","926","(X)","(X)","41.8","(X)","(X)","(X)","6572440","34073","1.5","0.1","0.9","0.1","2.7","0.1","3.1","0.1","5.8","0.2","10.9","0.2","11.4","0.2","20.3","0.3","14.6","0.2","28.8","0.3","131674","797","176205","1188","(X)","(X)","(X)","(X)","(X)","(X)","4472256","29988","9.7","0.3","6.3","0.2","8.7","0.3","7.6","0.2","10.1","0.3","15.2","0.3","11.4","0.2","13.9","0.3","7.2","0.2","9.8","0.3","61493","398","91365","863","(X)","(X)","(X)","(X)","32.4","(X)",
"0400000US08","Colorado","2428261","9051","4.2","0.2","2.5","0.2","4.9","0.2","5.1","0.3","8.5","0.3","15.1","0.4","13.0","0.4","19.1","0.5","11.8","0.4","15.9","0.4","92911","1057","124578","1547","33.9","(X)","(X)","(X)","(X)","(X)","1486623","14499","2.2","0.2","1.3","0.2","2.6","0.3","3.3","0.3","6.4","0.4","13.1","0.5","13.3","0.6","22.1","0.6","14.7","0.5","20.9","0.5","115335","1568","148071","1876","(X)","(X)","35.4","(X)","(X)","(X)","1160768","13501","1.1","0.2","0.6","0.1","1.8","0.2","2.3","0.3","4.8","0.4","11.0","0.5","12.9","0.7","23.1","0.7","17.2","0.6","25.2","0.7","132187","1626","165947","2392","(X)","(X)","(X)","(X)","(X)","(X)","941638","14211","7.7","0.6","4.8","0.4","8.7","0.5","8.3","0.6","12.3","0.6","19.2","0.8","12.8","0.5","13.4","0.6","6.2","0.5","6.8","0.5","60009","1180","82221","2128","(X)","(X)","(X)","(X)","30.5","(X)",
"0400000US09","Connecticut","1442969","7955","4.9","0.4","3.2","0.3","5.6","0.4","5.6","0.4","8.5","0.5","13.9","0.5","12.1","0.5","17.8","0.5","11.0","0.4","17.5","0.5","91665","1473","131007","1849","38.7","(X)","(X)","(X)","(X)","(X)","923233","11330","3.1","0.4","1.5","0.2","3.1","0.3","4.0","0.4","6.7","0.5","12.2","0.7","12.1","0.6","20.3","0.7","13.6","0.6","23.4","0.7","115351","2114","158476","2749","(X)","(X)","40.9","(X)","(X)","(X)","668432","10704","1.2","0.3","0.7","0.2","1.5","0.3","2.1","0.3","4.8","0.5","10.3","0.6","11.2","0.6","21.8","0.9","16.4","0.8","30.0","1.0","140908","2215","186154","3513","(X)","(X)","(X)","(X)","(X)","(X)","519736","11110","8.7","0.9","6.2","0.7","10.5","0.7","9.2","0.7","12.2","0.9","17.4","1.0","12.3","0.9","12.4","0.9","5.5","0.5","5.5","0.5","53431","1853","76375","2025","(X)","(X)","(X)","(X)","33.7","(X)",
"0400000US10","Delaware","412048","3896","4.0","0.7","2.9","0.5","5.2","0.5","6.5","0.7","11.3","1.0","16.3","1.0","13.5","1.0","18.1","0.9","10.5","1.0","11.7","0.8","81361","1668","109486","2972","33.9","(X)","(X)","(X)","(X)","(X)","268496","6211","2.2","0.5","1.7","0.6","3.3","0.6","4.4","0.8","9.2","1.2","14.5","1.3","14.2","1.1","21.2","1.3","13.5","1.3","15.9","1.2","100727","2876","129963","4448","(X)","(X)","35.7","(X)","(X)","(X)","196308","6617","1.2","0.4","0.7","0.3","1.8","0.6","2.8","0.7","6.7","1.0","13.1","1.6","14.3","1.3","23.0","1.5","16.0","1.6","20.4","1.5","117885","4585","148243","5597","(X)","(X)","(X)","(X)","(X)","(X)","143552","5366","7.9","1.6","5.6","1.2","9.1","1.1","11.5","1.6","16.1","1.8","20.0","1.7","12.0","1.4","10.3","1.1","4.5","1.1","3.1","0.8","49863","2366","65978","3226","(X)","(X)","(X)","(X)","28.9","(X)",
"0400000US11","District of Columbia","334673","3520","7.9","1.0","2.9","0.6","4.8","0.9","3.1","0.6","5.8","0.9","12.3","1.6","10.2","1.1","14.9","1.3","12.2","1.5","25.9","1.2","108210","6847","160752","5987","32.1","(X)","(X)","(X)","(X)","(X)","137504","4976","6.4","1.7","1.1","0.6","3.9","1.8","3.4","1.3","3.4","1.1","11.2","2.3","7.2","1.5","11.6","1.8","11.5","2.2","40.3","2.6","157210","8168","217653","12200","(X)","(X)","38.9","(X)","(X)","(X)","85373","4525","1.4","0.8","0.5","0.5","2.6","2.1","0.7","0.6","1.7","0.9","5.9","1.9","4.7","1.6","8.9","1.7","13.3","2.4","60.2","3.6","239178","18270","N","N","(X)","(X)","(X)","(X)","(X)","(X)","197169","5052","8.9","1.7","4.2","0.9","5.5","1.1","3.6","0.9","7.5","1.3","13.4","2.2","12.1","1.5","17.7","1.6","12.7","1.6","14.6","1.6","89007","5021","116108","5167","(X)","(X)","(X)","(X)","26.6","(X)",
